,,,Installation Bottom,,,,,,,Installation Top,,,,,,
Layer,Headboard,Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan,T/B,Bus,Wire Relay,Pin Header,Pin Row,Pin Col,DWA Chan
G,6,247,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,6,248,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,6,249,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,6,250,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,6,251,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,6,252,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,6,253,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,6,254,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,6,255,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,6,256,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,6,257,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,6,258,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,6,259,T,94,15,105,2,4,7,B,67,50,106,1,13,0
G,6,260,T,91,14,106,1,4,6,B,70,51,105,2,13,1
G,6,261,T,90,13,106,2,4,6,B,71,52,105,1,13,1
G,6,262,T,87,12,105,1,3,5,B,74,53,106,2,14,2
G,6,263,T,86,11,105,2,3,5,B,75,54,106,1,14,2
G,6,264,T,83,10,106,1,3,4,B,78,55,105,2,14,3
G,6,265,T,82,9,106,2,3,4,B,79,56,105,1,14,3
G,6,266,B,79,56,105,1,14,3,T,82,9,106,2,3,4
G,6,267,B,78,55,105,2,14,3,T,83,10,106,1,3,4
G,6,268,B,75,54,106,1,14,2,T,86,11,105,2,3,5
G,6,269,B,74,53,106,2,14,2,T,87,12,105,1,3,5
G,6,270,B,71,52,105,1,13,1,T,90,13,106,2,4,6
G,6,271,B,70,51,105,2,13,1,T,91,14,106,1,4,6
G,6,272,B,67,50,106,1,13,0,T,94,15,105,2,4,7
G,6,273,B,66,49,106,2,13,0,T,95,16,105,1,4,7
G,6,274,B,95,32,105,1,8,7,T,66,33,106,2,9,0
G,6,275,B,94,31,105,2,8,7,T,67,34,106,1,9,0
G,6,276,B,91,30,106,1,8,6,T,70,35,105,2,9,1
G,6,277,B,90,29,106,2,8,6,T,71,36,105,1,9,1
G,6,278,B,87,28,105,1,7,5,T,74,37,106,2,10,2
G,6,279,B,86,27,105,2,7,5,T,75,38,106,1,10,2
G,6,280,B,83,26,106,1,7,4,T,78,39,105,2,10,3
G,6,281,B,82,25,106,2,7,4,T,79,40,105,1,10,3
G,6,282,B,79,8,105,1,2,3,T,82,57,106,2,15,4
G,6,283,B,78,7,105,2,2,3,T,83,58,106,1,15,4
G,6,284,B,75,6,106,1,2,2,T,86,59,105,2,15,5
G,6,285,B,74,5,106,2,2,2,T,87,60,105,1,15,5
G,6,286,B,71,4,105,1,1,1,T,90,61,106,2,16,6
G,6,287,B,70,3,105,2,1,1,T,91,62,106,1,16,6
G,6,288,B,67,2,106,1,1,0,T,94,63,105,2,16,7
G,6,289,B,68,1,106,2,1,0,T,95,64,105,1,16,7
G,7,290,T,95,64,105,1,16,7,B,66,1,106,2,1,0
G,7,291,T,94,63,105,2,16,7,B,67,2,106,1,1,0
G,7,292,T,91,62,106,1,16,6,B,70,3,105,2,1,1
G,7,293,T,90,61,106,2,16,6,B,71,4,105,1,1,1
G,7,294,T,87,60,105,1,15,5,B,74,5,106,2,2,2
G,7,295,T,86,59,105,2,15,5,B,75,6,106,1,2,2
G,7,296,T,83,58,106,1,15,4,B,78,7,105,2,2,3
G,7,297,T,82,57,106,2,15,4,B,79,8,105,1,2,3
G,7,298,T,79,40,105,1,10,3,B,82,25,106,2,7,4
G,7,299,T,78,39,105,2,10,3,B,83,26,106,1,7,4
G,7,300,T,75,38,106,1,10,2,B,86,27,105,2,7,5
G,7,301,T,74,37,106,2,10,2,B,87,28,105,1,7,5
G,7,302,T,71,36,105,1,9,1,B,90,29,106,2,8,6
G,7,303,T,70,35,105,2,9,1,B,91,30,106,1,8,6
G,7,304,T,67,34,106,1,9,0,B,94,31,105,2,8,7
G,7,305,T,66,33,106,2,9,0,B,95,32,105,1,8,7
G,7,306,T,95,16,105,1,4,7,B,66,49,106,2,13,0
G,7,307,T,94,15,105,2,4,7,B,67,50,106,1,13,0
