Sample in Buffer,Sample in Window,TRIGGER,fifoAutoDC_ren,fifoAutoDC_dout[15:0],m_axis_tid[4:0]
240,240,0,0,017e,10
241,241,0,0,017e,10
242,242,0,0,017e,10
243,243,0,0,017e,10
244,244,0,0,017e,10
245,245,0,0,017e,10
246,246,0,0,017e,10
247,247,0,0,017e,10
248,248,0,0,017e,10
249,249,0,0,017e,10
250,250,0,0,017e,10
251,251,0,0,017e,10
252,252,0,0,017e,10
253,253,0,0,017e,10
254,254,0,0,017e,10
255,255,0,0,017e,10
256,256,0,0,017e,10
257,257,0,0,017e,10
258,258,0,0,017e,10
259,259,0,0,017e,10
260,260,0,0,017e,10
261,261,0,0,017e,10
262,262,0,0,017e,10
263,263,0,0,017e,10
264,264,0,0,017e,10
265,265,0,0,017e,10
266,266,0,0,017e,10
267,267,0,0,017e,10
268,268,0,0,017e,10
269,269,0,0,017e,10
270,270,0,0,017e,10
271,271,0,0,017e,10
272,272,0,0,017e,10
273,273,0,0,017e,10
274,274,0,0,017e,10
275,275,0,0,017e,10
276,276,0,0,017e,10
277,277,0,0,017e,10
278,278,0,0,017e,10
279,279,0,0,017e,10
280,280,0,0,017e,10
281,281,0,0,017e,10
282,282,0,0,017e,10
283,283,0,0,017e,10
284,284,0,0,017e,10
285,285,0,0,017e,10
286,286,0,0,017e,10
287,287,0,0,017e,10
288,288,0,0,017e,10
289,289,0,0,017e,10
290,290,0,0,017e,10
291,291,0,0,017e,10
292,292,0,0,017e,10
293,293,0,0,017e,10
294,294,0,0,017e,10
295,295,0,0,017e,10
296,296,0,0,017e,10
297,297,0,0,017e,10
298,298,0,0,017e,10
299,299,0,0,017e,10
300,300,0,0,017e,18
301,301,0,0,017e,18
302,302,0,0,017e,18
303,303,0,0,017e,18
304,304,0,0,017e,18
305,305,0,0,017e,18
306,306,0,0,017e,18
307,307,0,0,017e,18
308,308,0,0,017e,18
309,309,0,0,017e,18
310,310,0,0,017e,18
311,311,0,0,017e,18
312,312,0,0,017e,18
313,313,0,0,017e,18
314,314,0,0,017e,18
315,315,0,0,017e,18
316,316,0,0,017e,18
317,317,0,0,017e,18
318,318,0,0,017e,18
319,319,0,0,017e,18
320,320,0,0,017e,18
321,321,0,0,017e,18
322,322,0,0,017e,18
323,323,0,0,017e,18
324,324,0,0,017e,18
325,325,0,0,017e,18
326,326,0,0,017e,18
327,327,0,0,017e,18
328,328,0,0,017e,18
329,329,0,0,017e,18
330,330,0,0,017e,18
331,331,0,0,017e,18
332,332,0,0,017e,18
333,333,0,0,017e,18
334,334,0,0,017e,18
335,335,0,0,017e,18
336,336,0,0,017e,18
337,337,0,0,017e,18
338,338,0,0,017e,18
339,339,0,0,017e,18
340,340,0,0,017e,18
341,341,0,0,017e,18
